symbol,final_score,whale,technical,valuation,moat,quant,macro,risk
KOTAKBANK,0.6648,0.5443782800083105,0.5992324561403509,0.55,0.6153846153846154,0.7777777777777777,0.6875,0.0
IRFC,0.6273,0.0,0.7738486842105265,0.85,0.5384615384615384,0.22222222222222224,0.6875,0.19021739130434787
MUTHOOTFIN,0.6154,0.1588482297722867,0.60827850877193,0.8,1.0,0.3333333333333333,0.6875,0.7336956521739132
PNB,0.6079,0.18623937500729587,0.4766995614035089,0.925,0.6153846153846154,0.22222222222222224,0.6875,0.0
AXISBANK,0.5829,0.8485259589787301,0.40350877192982454,0.85,0.5769230769230769,0.22222222222222224,0.6875,0.19021739130434787
HINDZINC,0.5744,0.005651736068518437,0.7944078947368423,0.8,0.5769230769230769,0.5555555555555556,0.0,0.5434782608695653
RECLTD,0.5734,0.24259088339250112,0.5953947368421054,0.85,0.5769230769230769,0.22222222222222224,0.6875,0.46195652173913054
SBIN,0.5702,0.3105520527762431,0.42516447368421056,0.85,0.7307692307692307,0.0,0.6875,0.0
ICICIBANK,0.5668,0.691183081228269,0.3486842105263157,0.5,0.7307692307692307,0.4444444444444445,0.6875,0.0
BPCL,0.5661,0.31360118352201266,0.3297697368421055,0.925,0.1923076923076923,0.4444444444444445,0.8749999999999999,0.0
PFC,0.564,0.2628758954668675,0.5397478070175441,0.925,0.5,0.22222222222222224,0.6875,0.46195652173913054
NTPC,0.5633,0.42957021481508834,0.25575657894736886,0.925,0.3846153846153846,0.4444444444444445,0.8749999999999999,0.19021739130434787
BANKBARODA,0.5601,0.19691771155210386,0.35937499999999994,0.925,0.6153846153846154,0.22222222222222224,0.6875,0.19021739130434787
HDFCBANK,0.5595,0.718638015809424,0.2996162280701753,0.7,0.6153846153846154,0.4444444444444445,0.6875,0.19021739130434787
BAJAJHLDNG,0.5548,0.10494623227908041,0.35745614035087736,0.8,0.6538461538461539,0.22222222222222224,0.6875,0.0
